hotelname,postalcode,latitude,longitude,review_pos,review_neg,review_text,review-score,overall_score,cleanliness,comfort,location,facilities,staff,value_for_money,Free_Wifi
L Hotel at Broadway,218067,1.3091791,103.8532245,"Friendly staff. Good location, near to 2 mrt stations. Walking distance to shopping areas (little India, bugis Street , mustafa centre,city Square mall) near to lots of restaurants. Good value.",Nothing but bathroom is little bit old and dirty.,"Friendly staff. Good location, near to 2 mrt stations. Walking distance to shopping areas (little India, bugis Street , mustafa centre,city Square mall) near to lots of restaurants. Good value. Nothing but bathroom is little bit old and dirty.",4,['6.1'],6.0,6.3,8.4,5.9,7.6,6.6,7.5
L Hotel at Broadway,218067,1.3091791,103.8532245,10,10,10 10,5,['6.1'],6.0,6.3,8.4,5.9,7.6,6.6,7.5
L Hotel at Broadway,218067,1.3091791,103.8532245,,Lobby was too small and few chairs available for seating, Lobby was too small and few chairs available for seating,5,['6.1'],6.0,6.3,8.4,5.9,7.6,6.6,7.5
L Hotel at Broadway,218067,1.3091791,103.8532245,Location,,Location ,5,['6.1'],6.0,6.3,8.4,5.9,7.6,6.6,7.5
L Hotel at Broadway,218067,1.3091791,103.8532245,Easy access to all destinations,"When we are going out, our power bank and charges cannot be kept charging","Easy access to all destinations When we are going out, our power bank and charges cannot be kept charging",4,['6.1'],6.0,6.3,8.4,5.9,7.6,6.6,7.5
L Hotel at Broadway,218067,1.3091791,103.8532245,Nothing,ComfortCleanlinessSpace,Nothing ComfortCleanlinessSpace,2,['6.1'],6.0,6.3,8.4,5.9,7.6,6.6,7.5
L Hotel at Broadway,218067,1.3091791,103.8532245,I thought the price,The bathroom,I thought the price The bathroom,1,['6.1'],6.0,6.3,8.4,5.9,7.6,6.6,7.5
L Hotel at Broadway,218067,1.3091791,103.8532245,,, ,4,['6.1'],6.0,6.3,8.4,5.9,7.6,6.6,7.5
L Hotel at Broadway,218067,1.3091791,103.8532245,,, ,4,['6.1'],6.0,6.3,8.4,5.9,7.6,6.6,7.5
L Hotel at Broadway,218067,1.3091791,103.8532245,,, ,4,['6.1'],6.0,6.3,8.4,5.9,7.6,6.6,7.5
L Hotel at Broadway,218067,1.3091791,103.8532245,,, ,1,['6.1'],6.0,6.3,8.4,5.9,7.6,6.6,7.5
L Hotel at Broadway,218067,1.3091791,103.8532245,,, ,1,['6.1'],6.0,6.3,8.4,5.9,7.6,6.6,7.5
L Hotel at Broadway,218067,1.3091791,103.8532245,,, ,4,['6.1'],6.0,6.3,8.4,5.9,7.6,6.6,7.5
L Hotel at Broadway,218067,1.3091791,103.8532245,,, ,1,['6.1'],6.0,6.3,8.4,5.9,7.6,6.6,7.5
L Hotel at Broadway,218067,1.3091791,103.8532245,,, ,1,['6.1'],6.0,6.3,8.4,5.9,7.6,6.6,7.5
L Hotel at Broadway,218067,1.3091791,103.8532245,,, ,1,['6.1'],6.0,6.3,8.4,5.9,7.6,6.6,7.5
L Hotel at Broadway,218067,1.3091791,103.8532245,,, ,5,['6.1'],6.0,6.3,8.4,5.9,7.6,6.6,7.5
L Hotel at Broadway,218067,1.3091791,103.8532245,,, ,5,['6.1'],6.0,6.3,8.4,5.9,7.6,6.6,7.5
L Hotel at Broadway,218067,1.3091791,103.8532245,,, ,1,['6.1'],6.0,6.3,8.4,5.9,7.6,6.6,7.5
L Hotel at Broadway,218067,1.3091791,103.8532245,,, ,5,['6.1'],6.0,6.3,8.4,5.9,7.6,6.6,7.5
L Hotel at Broadway,218067,1.3091791,103.8532245,,, ,5,['6.1'],6.0,6.3,8.4,5.9,7.6,6.6,7.5
L Hotel at Broadway,218067,1.3091791,103.8532245,,, ,5,['6.1'],6.0,6.3,8.4,5.9,7.6,6.6,7.5
L Hotel at Broadway,218067,1.3091791,103.8532245,,, ,5,['6.1'],6.0,6.3,8.4,5.9,7.6,6.6,7.5
L Hotel at Broadway,218067,1.3091791,103.8532245,,, ,4,['6.1'],6.0,6.3,8.4,5.9,7.6,6.6,7.5
L Hotel at Broadway,218067,1.3091791,103.8532245,,, ,1,['6.1'],6.0,6.3,8.4,5.9,7.6,6.6,7.5
L Hotel at Broadway,218067,1.3091791,103.8532245,,, ,1,['6.1'],6.0,6.3,8.4,5.9,7.6,6.6,7.5
L Hotel at Broadway,218067,1.3091791,103.8532245,,, ,4,['6.1'],6.0,6.3,8.4,5.9,7.6,6.6,7.5
L Hotel at Broadway,218067,1.3091791,103.8532245,,, ,4,['6.1'],6.0,6.3,8.4,5.9,7.6,6.6,7.5
L Hotel at Broadway,218067,1.3091791,103.8532245,,, ,1,['6.1'],6.0,6.3,8.4,5.9,7.6,6.6,7.5
L Hotel at Broadway,218067,1.3091791,103.8532245,,, ,5,['6.1'],6.0,6.3,8.4,5.9,7.6,6.6,7.5
L Hotel at Broadway,218067,1.3091791,103.8532245,,, ,3,['6.1'],6.0,6.3,8.4,5.9,7.6,6.6,7.5
