hotelname,postalcode,latitude,longitude,review_pos,review_neg,review_text,review-score,overall_score,cleanliness,comfort,location,facilities,staff,value_for_money,Free_Wifi
Hotel 81 Geylang,398863,1.2899175,103.8519072,,, ,1,['5.8'],6.2,6.2,7.0,6.0,7.1,6.4,7.8
Hotel 81 Geylang,398863,1.2899175,103.8519072,,, ,5,['5.8'],6.2,6.2,7.0,6.0,7.1,6.4,7.8
Hotel 81 Geylang,398863,1.2899175,103.8519072,,, ,4,['5.8'],6.2,6.2,7.0,6.0,7.1,6.4,7.8
Hotel 81 Geylang,398863,1.2899175,103.8519072,,, ,5,['5.8'],6.2,6.2,7.0,6.0,7.1,6.4,7.8
Hotel 81 Geylang,398863,1.2899175,103.8519072,,, ,1,['5.8'],6.2,6.2,7.0,6.0,7.1,6.4,7.8
Hotel 81 Geylang,398863,1.2899175,103.8519072,,, ,4,['5.8'],6.2,6.2,7.0,6.0,7.1,6.4,7.8
Hotel 81 Geylang,398863,1.2899175,103.8519072,,, ,5,['5.8'],6.2,6.2,7.0,6.0,7.1,6.4,7.8
Hotel 81 Geylang,398863,1.2899175,103.8519072,,, ,5,['5.8'],6.2,6.2,7.0,6.0,7.1,6.4,7.8
Hotel 81 Geylang,398863,1.2899175,103.8519072,,, ,5,['5.8'],6.2,6.2,7.0,6.0,7.1,6.4,7.8
Hotel 81 Geylang,398863,1.2899175,103.8519072,,, ,4,['5.8'],6.2,6.2,7.0,6.0,7.1,6.4,7.8
Hotel 81 Geylang,398863,1.2899175,103.8519072,,, ,5,['5.8'],6.2,6.2,7.0,6.0,7.1,6.4,7.8
Hotel 81 Geylang,398863,1.2899175,103.8519072,,, ,4,['5.8'],6.2,6.2,7.0,6.0,7.1,6.4,7.8
Hotel 81 Geylang,398863,1.2899175,103.8519072,,, ,4,['5.8'],6.2,6.2,7.0,6.0,7.1,6.4,7.8
Hotel 81 Geylang,398863,1.2899175,103.8519072,,, ,1,['5.8'],6.2,6.2,7.0,6.0,7.1,6.4,7.8
Hotel 81 Geylang,398863,1.2899175,103.8519072,,, ,4,['5.8'],6.2,6.2,7.0,6.0,7.1,6.4,7.8
Hotel 81 Geylang,398863,1.2899175,103.8519072,,, ,5,['5.8'],6.2,6.2,7.0,6.0,7.1,6.4,7.8
Hotel 81 Geylang,398863,1.2899175,103.8519072,,, ,1,['5.8'],6.2,6.2,7.0,6.0,7.1,6.4,7.8
Hotel 81 Geylang,398863,1.2899175,103.8519072,,, ,4,['5.8'],6.2,6.2,7.0,6.0,7.1,6.4,7.8
Hotel 81 Geylang,398863,1.2899175,103.8519072,,, ,5,['5.8'],6.2,6.2,7.0,6.0,7.1,6.4,7.8
Hotel 81 Geylang,398863,1.2899175,103.8519072,,, ,4,['5.8'],6.2,6.2,7.0,6.0,7.1,6.4,7.8
Hotel 81 Geylang,398863,1.2899175,103.8519072,,, ,1,['5.8'],6.2,6.2,7.0,6.0,7.1,6.4,7.8
Hotel 81 Geylang,398863,1.2899175,103.8519072,,, ,5,['5.8'],6.2,6.2,7.0,6.0,7.1,6.4,7.8
