hotelname,postalcode,latitude,longitude,review_pos,review_neg,review_text,review-score,overall_score,cleanliness,comfort,location,facilities,staff,value_for_money,Free_Wifi
"Capri by Fraser China Square, Singapore",058743,1.2899175,103.8519072,"Amazing apartments, loved the layout for just the two of us. Great size pool and gym, loved the play and spin little games they had, room service was bomb.",With the virus going around the staff were a little rude to guess but I believe that also had to do with language barriers.,"Amazing apartments, loved the layout for just the two of us. Great size pool and gym, loved the play and spin little games they had, room service was bomb. With the virus going around the staff were a little rude to guess but I believe that also had to do with language barriers.",5,['8.7'],9.4,9.4,9.4,9.1,8.9,8.3,8.9
"Capri by Fraser China Square, Singapore",058743,1.2899175,103.8519072,Good staff and the filipino as well,,Good staff and the filipino as well ,4,['8.7'],9.4,9.4,9.4,9.1,8.9,8.3,8.9
"Capri by Fraser China Square, Singapore",058743,1.2899175,103.8519072,"Central location, 5 minutes walk from the Chinatown and Telok Ayer MRT stations, very convenient for a first time visitor wanting to explore different parts of the city state. Sentosa Express and Cable cars are 2 MRT stations away, and Changi Airport is 30 minutes by taxi.The pool on the roof is great, and not crowded.","I specifically indicated that there were three of us, including a 8-year old child. In Europe and America for such bookings I always got a room with an extra bed ( a cot or a folding armchair) without a special request. Here you get a room with a standard double bed for the three of us. And the room's layout does not really allow to put even a small extra bed, which is why we did not bother to ask for one. We decided it was OK for the 6 nights, though it would have been a lot better to have a separate bed for our daughter.","Central location, 5 minutes walk from the Chinatown and Telok Ayer MRT stations, very convenient for a first time visitor wanting to explore different parts of the city state. Sentosa Express and Cable cars are 2 MRT stations away, and Changi Airport is 30 minutes by taxi.The pool on the roof is great, and not crowded. I specifically indicated that there were three of us, including a 8-year old child. In Europe and America for such bookings I always got a room with an extra bed ( a cot or a folding armchair) without a special request. Here you get a room with a standard double bed for the three of us. And the room's layout does not really allow to put even a small extra bed, which is why we did not bother to ask for one. We decided it was OK for the 6 nights, though it would have been a lot better to have a separate bed for our daughter.",5,['8.7'],9.4,9.4,9.4,9.1,8.9,8.3,8.9
"Capri by Fraser China Square, Singapore",058743,1.2899175,103.8519072,Excelent!,price extra bed - too expensive - $ 105 /night,Excelent! price extra bed - too expensive - $ 105 /night,5,['8.7'],9.4,9.4,9.4,9.1,8.9,8.3,8.9
"Capri by Fraser China Square, Singapore",058743,1.2899175,103.8519072,Very clean and very close to Marina bay,,Very clean and very close to Marina bay ,5,['8.7'],9.4,9.4,9.4,9.1,8.9,8.3,8.9
"Capri by Fraser China Square, Singapore",058743,1.2899175,103.8519072,"Extremely friendly staff; stylish, spacious and comfortable room; great facilities (loved the pool and laundry facilities); and awesome location within walking distance of many great sights and attractions.",The room lights were confusing + it would be great to have pump hand soap rather than a bar of soap. These are minor concerns though!,"Extremely friendly staff; stylish, spacious and comfortable room; great facilities (loved the pool and laundry facilities); and awesome location within walking distance of many great sights and attractions. The room lights were confusing + it would be great to have pump hand soap rather than a bar of soap. These are minor concerns though!",5,['8.7'],9.4,9.4,9.4,9.1,8.9,8.3,8.9
"Capri by Fraser China Square, Singapore",058743,1.2899175,103.8519072,The location is very nice. Easy to walk to many places.,,The location is very nice. Easy to walk to many places. ,5,['8.7'],9.4,9.4,9.4,9.1,8.9,8.3,8.9
"Capri by Fraser China Square, Singapore",058743,1.2899175,103.8519072,"Great rooms, comfortable beds, spotlessly clean.",Lifts were very warm.,"Great rooms, comfortable beds, spotlessly clean. Lifts were very warm.",5,['8.7'],9.4,9.4,9.4,9.1,8.9,8.3,8.9
"Capri by Fraser China Square, Singapore",058743,1.2899175,103.8519072,Location was very convenient for work and the choice of restaurants was excellent,Pillows.. too thick and bouncy,Location was very convenient for work and the choice of restaurants was excellent Pillows.. too thick and bouncy,4,['8.7'],9.4,9.4,9.4,9.1,8.9,8.3,8.9
"Capri by Fraser China Square, Singapore",058743,1.2899175,103.8519072,"The staff, location and facilities.",The doors in the shower and toilet.,"The staff, location and facilities. The doors in the shower and toilet.",5,['8.7'],9.4,9.4,9.4,9.1,8.9,8.3,8.9
